1001446 317780 {'dtype':3}
1001446 845832 {'dtype':3}
220311 242998 {'dtype':3}
220311 297039 {'dtype':2}
220311 444421 {'dtype':2}
220318 306612 {'dtype':3}
220318 563928 {'dtype':3}
220318 565956 {'dtype':3}
220318 940057 {'dtype':3}
220318 955399 {'dtype':3}
221014 222995 {'dtype':3}
222211 222213 {'dtype':3}
222378 547434 {'dtype':3}
222880 69162 {'dtype':3}
222880 271384 {'dtype':3}
223036 223815 {'dtype':2}
223036 224740 {'dtype':3}
223036 239431 {'dtype':3}
223099 224785 {'dtype':3}
223099 238222 {'dtype':2}
223099 253449 {'dtype':2}
223099 267602 {'dtype':2}
223099 324717 {'dtype':2}
223150 224535 {'dtype':3}
223525 59751 {'dtype':3}
223565 231382 {'dtype':3}
223565 242818 {'dtype':3}
223565 270789 {'dtype':3}
223565 306028 {'dtype':2}
223622 61811 {'dtype':2}
223622 69162 {'dtype':2}
223622 69163 {'dtype':2}
223622 70496 {'dtype':3}
223622 73488 {'dtype':2}
223622 222211 {'dtype':2}
223622 238222 {'dtype':2}
223622 242942 {'dtype':2}
223622 244651 {'dtype':2}
223622 268560 {'dtype':2}
223622 320926 {'dtype':3}
223628 227083 {'dtype':3}
223703 306612 {'dtype':3}
223703 419699 {'dtype':3}
223794 238222 {'dtype':2}
223794 245211 {'dtype':2}
223794 310111 {'dtype':2}
223794 324717 {'dtype':2}
223794 440979 {'dtype':2}
223796 228114 {'dtype':3}
223796 292627 {'dtype':1}
223796 318255 {'dtype':1}
223852 230497 {'dtype':3}
224223 547434 {'dtype':3}
224362 223008 {'dtype':2}
224362 223150 {'dtype':2}
224362 223815 {'dtype':2}
224362 236542 {'dtype':2}
224362 238222 {'dtype':2}
224362 238253 {'dtype':3}
224362 239105 {'dtype':3}
224362 240630 {'dtype':2}
224362 244651 {'dtype':2}
224362 245211 {'dtype':2}
224362 246391 {'dtype':2}
224362 251978 {'dtype':3}
224362 269024 {'dtype':2}
224579 51195 {'dtype':2}
224579 64578 {'dtype':2}
224579 73488 {'dtype':2}
224579 231951 {'dtype':2}
224579 233105 {'dtype':2}
224579 238222 {'dtype':2}
224579 239197 {'dtype':2}
224579 242638 {'dtype':2}
224579 248453 {'dtype':3}
224579 251053 {'dtype':2}
224601 224535 {'dtype':3}
224633 547434 {'dtype':3}
224641 233105 {'dtype':3}
224641 245211 {'dtype':2}
224641 256287 {'dtype':2}
224641 270789 {'dtype':2}
224712 73488 {'dtype':2}
224712 228525 {'dtype':3}
224712 253449 {'dtype':3}
224791 238222 {'dtype':2}
224791 253449 {'dtype':2}
224791 306770 {'dtype':3}
224808 248453 {'dtype':3}
224808 253211 {'dtype':2}
224808 277663 {'dtype':3}
225104 69162 {'dtype':2}
225104 69163 {'dtype':2}
225104 73488 {'dtype':2}
225104 220333 {'dtype':2}
225104 222211 {'dtype':2}
225104 223794 {'dtype':2}
225104 225635 {'dtype':2}
225104 239418 {'dtype':3}
225104 242638 {'dtype':2}
225104 244651 {'dtype':2}
225104 270789 {'dtype':2}
225280 306612 {'dtype':2}
225280 306770 {'dtype':2}
225280 348521 {'dtype':2}
225280 393236 {'dtype':2}
225280 419699 {'dtype':2}
225635 251396 {'dtype':3}
225643 238222 {'dtype':2}
225643 243121 {'dtype':2}
225643 306770 {'dtype':3}
225643 309927 {'dtype':3}
225738 306612 {'dtype':3}
225738 499980 {'dtype':3}
226138 226136 {'dtype':3}
226138 560156 {'dtype':3}
226254 69162 {'dtype':2}
226254 74072 {'dtype':2}
226254 223008 {'dtype':2}
226254 226410 {'dtype':2}
226254 227083 {'dtype':2}
226254 238222 {'dtype':2}
226254 239197 {'dtype':2}
226254 242638 {'dtype':2}
226254 244651 {'dtype':2}
226254 268560 {'dtype':2}
226254 268655 {'dtype':2}
226254 287683 {'dtype':2}
226254 293327 {'dtype':2}
227048 69162 {'dtype':2}
227048 69163 {'dtype':2}
227048 73488 {'dtype':2}
227048 222211 {'dtype':2}
227048 222880 {'dtype':2}
227048 223008 {'dtype':2}
227443 222880 {'dtype':3}
227443 242818 {'dtype':3}
227639 74072 {'dtype':2}
227639 223628 {'dtype':2}
227639 227083 {'dtype':2}
227639 231951 {'dtype':2}
227639 235279 {'dtype':2}
227639 238222 {'dtype':2}
227639 267602 {'dtype':3}
227639 293702 {'dtype':2}
227639 306612 {'dtype':3}
227639 306770 {'dtype':3}
227657 457570 {'dtype':2}
227706 306612 {'dtype':3}
227795 306612 {'dtype':3}
